,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
86191,caseyse01,2005,1,CIN,NL,137,529,75,165,32,0,9,58.0,2.0,0.0,48,48.0,3.0,5.0,0.0,5.0,27.0
86198,castijo02,2005,1,PIT,NL,101,370,49,99,16,3,11,53.0,2.0,3.0,23,59.0,3.0,0.0,1.0,4.0,11.0
86199,castilu01,2005,1,FLO,NL,122,439,72,132,12,4,4,30.0,10.0,7.0,65,32.0,1.0,1.0,18.0,1.0,11.0
86200,castivi02,2005,1,WAS,NL,142,494,53,125,36,1,12,66.0,4.0,2.0,43,82.0,7.0,7.0,1.0,4.0,16.0
86202,castrju01,2005,1,MIN,AL,97,272,27,70,18,1,5,33.0,0.0,1.0,9,39.0,1.0,0.0,9.0,2.0,8.0
86203,castrra01,2005,1,NYN,NL,99,209,26,51,16,0,8,41.0,1.0,0.0,25,58.0,2.0,0.0,3.0,3.0,7.0
86204,catalfr01,2005,1,TOR,AL,130,419,56,126,29,5,8,59.0,0.0,2.0,37,53.0,0.0,10.0,4.0,5.0,9.0
86214,chaveen01,2005,2,PHI,NL,91,107,17,23,3,3,0,10.0,2.0,1.0,4,13.0,0.0,0.0,7.0,0.0,2.0
86215,chaveer01,2005,1,OAK,AL,160,625,92,168,40,1,27,101.0,6.0,0.0,58,129.0,4.0,2.0,0.0,9.0,9.0
86221,choihe01,2005,1,LAN,NL,133,320,40,81,15,2,15,42.0,1.0,3.0,34,80.0,1.0,8.0,2.0,4.0,10.0
86226,churcry01,2005,1,WAS,NL,102,268,41,77,15,3,9,42.0,3.0,2.0,24,70.0,0.0,5.0,1.0,3.0,6.0
86227,cintral01,2005,1,ARI,NL,122,330,36,90,19,2,8,48.0,1.0,2.0,12,33.0,3.0,1.0,2.0,3.0,8.0
86229,clarkbr02,2005,1,MIL,NL,145,599,94,183,31,1,13,53.0,10.0,13.0,47,55.0,1.0,18.0,8.0,2.0,13.0
86232,clarkto02,2005,1,ARI,NL,130,349,47,106,22,2,30,87.0,0.0,0.0,37,88.0,6.0,1.0,0.0,6.0,10.0
86234,claytro01,2005,1,ARI,NL,143,522,59,141,28,4,2,44.0,13.0,3.0,38,105.0,0.0,1.0,10.0,2.0,19.0
86237,clossjd01,2005,1,COL,NL,92,237,31,52,12,2,7,27.0,1.0,0.0,32,48.0,1.0,1.0,1.0,1.0,9.0
86243,coninje01,2005,1,FLO,NL,131,335,42,102,20,2,3,33.0,2.0,0.0,38,58.0,2.0,3.0,2.0,6.0,12.0
86259,cotahu01,2005,1,PIT,NL,93,297,29,72,20,1,7,43.0,0.0,0.0,17,80.0,2.0,2.0,1.0,3.0,8.0
86261,counscr01,2005,1,ARI,NL,150,578,85,148,34,4,9,42.0,26.0,7.0,78,69.0,4.0,8.0,2.0,4.0,8.0
86263,crawfca02,2005,1,TBA,AL,156,644,101,194,33,15,15,81.0,46.0,8.0,27,84.0,1.0,5.0,5.0,6.0,11.0
86264,credejo01,2005,1,CHA,AL,132,432,54,109,21,0,22,62.0,1.0,1.0,25,66.0,3.0,8.0,2.0,4.0,7.0
86266,crispco01,2005,1,CLE,AL,145,594,86,178,42,4,16,69.0,15.0,6.0,44,81.0,1.0,0.0,13.0,5.0,7.0
86267,crosbbo01,2005,1,OAK,AL,84,333,66,92,25,4,9,38.0,0.0,0.0,35,54.0,0.0,1.0,1.0,1.0,10.0
86270,cruzde01,2005,1,SFN,NL,81,209,26,56,10,1,5,19.0,0.0,1.0,10,31.0,1.0,0.0,2.0,0.0,5.0
86272,cruzja01,2005,1,CIN,NL,110,127,12,30,10,0,4,18.0,0.0,0.0,16,46.0,1.0,1.0,0.0,1.0,0.0
86278,cuddymi01,2005,1,MIN,AL,126,422,55,111,25,3,12,42.0,3.0,4.0,41,93.0,5.0,3.0,1.0,3.0,19.0
86281,damonjo01,2005,1,BOS,AL,148,624,117,197,35,6,10,75.0,18.0,1.0,53,69.0,3.0,2.0,0.0,9.0,5.0
86284,davanje02,2005,1,LAA,AL,108,225,42,52,10,1,2,15.0,11.0,6.0,39,44.0,1.0,2.0,3.0,2.0,6.0
86294,dejesda01,2005,1,KCA,AL,122,461,69,135,31,6,9,56.0,5.0,5.0,42,76.0,1.0,9.0,5.0,6.0,6.0
86297,delgaca01,2005,1,FLO,NL,144,521,81,157,41,3,33,115.0,0.0,0.0,72,121.0,20.0,17.0,0.0,6.0,16.0
86298,delluda01,2005,1,TEX,AL,128,435,97,109,17,5,29,65.0,5.0,3.0,76,121.0,0.0,5.0,0.0,2.0,7.0
86309,diazvi01,2005,1,NYN,NL,89,280,41,72,17,3,12,38.0,6.0,2.0,30,82.0,7.0,1.0,0.0,2.0,13.0
86336,dunnad01,2005,1,CIN,NL,160,543,107,134,35,2,40,101.0,4.0,2.0,114,168.0,14.0,12.0,0.0,2.0,6.0
86338,durhara01,2005,1,SFN,NL,142,497,67,144,33,0,12,62.0,6.0,3.0,48,59.0,2.0,7.0,1.0,7.0,19.0
86340,dyeje01,2005,1,CHA,AL,145,529,74,145,29,2,31,86.0,11.0,4.0,39,99.0,3.0,9.0,0.0,2.0,15.0
86341,easleda01,2005,1,FLO,NL,102,267,37,64,19,1,9,30.0,4.0,1.0,26,47.0,3.0,4.0,3.0,4.0,6.0
86343,eckstda01,2005,1,SLN,NL,158,630,90,185,26,7,8,61.0,11.0,8.0,58,44.0,0.0,13.0,8.0,4.0,13.0
86344,edmonji01,2005,1,SLN,NL,142,467,88,123,37,1,29,89.0,5.0,5.0,91,139.0,10.0,4.0,1.0,4.0,6.0
86345,edwarmi02,2005,1,LAN,NL,88,239,23,59,9,2,3,15.0,1.0,1.0,16,34.0,0.0,2.0,1.0,0.0,6.0
86350,ellisja01,2005,1,SFN,NL,131,352,49,93,18,2,4,24.0,14.0,6.0,24,44.0,1.0,3.0,6.0,1.0,7.0
86351,ellisma01,2005,1,OAK,AL,122,434,76,137,21,5,13,52.0,1.0,3.0,44,51.0,1.0,4.0,4.0,0.0,10.0
86355,encarju01,2005,1,FLO,NL,141,506,59,145,27,3,16,76.0,6.0,5.0,41,104.0,2.0,9.0,4.0,3.0,9.0
86356,ensbemo01,2005,1,HOU,NL,150,526,86,149,30,3,36,101.0,6.0,7.0,85,119.0,9.0,8.0,0.0,5.0,12.0
86358,erstada01,2005,1,LAA,AL,153,609,86,166,33,3,7,66.0,10.0,3.0,47,109.0,3.0,1.0,4.0,2.0,8.0
86363,estrajo01,2005,1,ATL,NL,105,357,31,93,26,0,4,39.0,0.0,0.0,20,38.0,6.0,3.0,0.0,3.0,13.0
86366,everead01,2005,1,HOU,NL,152,549,58,136,27,2,11,54.0,21.0,7.0,26,103.0,1.0,8.0,8.0,4.0,5.0
86367,evereca01,2005,1,CHA,AL,135,490,58,123,17,2,23,87.0,4.0,5.0,42,99.0,2.0,5.0,0.0,10.0,11.0
86368,eyresc01,2005,1,SFN,NL,86,2,0,0,0,0,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
86375,felizpe01,2005,1,SFN,NL,156,569,69,142,30,4,20,81.0,0.0,2.0,38,102.0,1.0,1.0,1.0,6.0,20.0
86376,fickro01,2005,1,SDN,NL,93,230,25,61,10,2,3,30.0,0.0,2.0,26,33.0,2.0,1.0,1.0,2.0,4.0
86379,figgich01,2005,1,LAA,AL,158,642,113,186,25,10,8,57.0,62.0,17.0,64,101.0,1.0,0.0,9.0,5.0,9.0
86380,finlest01,2005,1,LAA,AL,112,406,41,90,20,3,12,54.0,8.0,4.0,26,71.0,3.0,3.0,1.0,4.0,6.0
86385,floydcl01,2005,1,NYN,NL,150,550,85,150,22,2,34,98.0,12.0,2.0,63,98.0,13.0,11.0,0.0,2.0,5.0
86390,fordle01,2005,1,MIN,AL,147,522,70,138,30,4,7,53.0,13.0,6.0,45,85.0,2.0,16.0,2.0,5.0,9.0
86398,francju01,2005,1,ATL,NL,108,233,30,64,12,1,9,42.0,4.0,0.0,27,57.0,1.0,1.0,1.0,3.0,10.0
86402,freelry01,2005,1,CIN,NL,103,369,69,100,19,3,4,21.0,36.0,10.0,51,59.0,0.0,8.0,3.0,0.0,9.0
86407,furcara01,2005,1,ATL,NL,154,616,100,175,31,11,12,58.0,46.0,10.0,62,78.0,3.0,1.0,5.0,5.0,11.0
86429,giambja01,2005,1,NYA,AL,139,417,74,113,14,0,32,87.0,0.0,0.0,108,109.0,5.0,19.0,0.0,1.0,7.0
86431,gibboja01,2005,1,BAL,AL,139,488,72,135,33,3,26,79.0,0.0,0.0,28,56.0,3.0,1.0,0.0,1.0,15.0
86432,gilesbr02,2005,1,SDN,NL,158,545,92,164,38,8,15,83.0,13.0,5.0,119,64.0,9.0,2.0,0.0,8.0,14.0
86433,gilesma01,2005,1,ATL,NL,152,577,104,168,45,4,15,63.0,16.0,3.0,64,108.0,1.0,5.0,4.0,4.0,13.0
86438,glaustr01,2005,1,ARI,NL,149,538,78,139,29,1,37,97.0,4.0,2.0,84,145.0,2.0,7.0,0.0,5.0,7.0
86445,gomesjo01,2005,1,TBA,AL,101,348,61,98,13,6,21,54.0,9.0,5.0,39,113.0,1.0,14.0,1.0,5.0,6.0
86447,gomezch02,2005,1,BAL,AL,89,219,27,61,11,0,1,18.0,2.0,1.0,27,17.0,1.0,1.0,6.0,1.0,14.0
86449,gonzaal01,2005,1,TBA,AL,109,349,47,94,20,1,9,38.0,2.0,1.0,26,74.0,1.0,3.0,2.0,3.0,13.0
86450,gonzaal02,2005,1,FLO,NL,130,435,45,115,30,0,5,45.0,5.0,3.0,31,81.0,10.0,5.0,4.0,3.0,11.0
86454,gonzalu01,2005,1,ARI,NL,155,579,90,157,37,0,24,79.0,4.0,1.0,78,90.0,12.0,11.0,0.0,4.0,14.0
86455,gonzalu02,2005,1,COL,NL,128,404,51,118,25,0,9,44.0,3.0,4.0,20,63.0,0.0,6.0,8.0,3.0,7.0
86462,gotayru01,2005,1,KCA,AL,86,282,32,64,14,2,5,29.0,2.0,2.0,22,51.0,0.0,4.0,4.0,5.0,3.0
86473,greenkh01,2005,1,SDN,NL,121,436,51,109,30,2,15,70.0,5.0,0.0,25,93.0,3.0,6.0,3.0,6.0,8.0
86474,greenni01,2005,1,TBA,AL,111,318,53,76,15,2,5,29.0,3.0,1.0,33,86.0,0.0,11.0,10.0,3.0,5.0
86475,greensh01,2005,1,ARI,NL,158,581,87,166,37,4,22,73.0,8.0,4.0,62,95.0,6.0,5.0,0.0,8.0,18.0
86482,griffke02,2005,1,CIN,NL,128,491,85,148,30,0,35,92.0,0.0,1.0,54,93.0,3.0,3.0,0.0,7.0,9.0
86489,grudzma01,2005,1,SLN,NL,137,528,64,155,30,3,8,59.0,8.0,6.0,26,81.0,3.0,7.0,0.0,2.0,14.0
86494,guerrvl01,2005,1,LAA,AL,141,520,95,165,29,2,32,108.0,13.0,1.0,61,48.0,26.0,8.0,0.0,5.0,16.0
86496,guillca01,2005,1,DET,AL,87,334,48,107,15,4,5,23.0,2.0,3.0,24,45.0,3.0,2.0,0.0,1.0,9.0
86497,guilljo01,2005,1,WAS,NL,148,551,81,156,32,2,24,76.0,1.0,1.0,31,102.0,6.0,19.0,1.0,9.0,14.0
86500,guzmacr01,2005,1,WAS,NL,142,456,39,100,19,6,4,31.0,7.0,4.0,25,76.0,6.0,1.0,8.0,2.0,12.0
86502,hafnetr01,2005,1,CLE,AL,137,486,94,148,42,0,33,108.0,0.0,0.0,79,123.0,7.0,9.0,0.0,4.0,9.0
86503,hairsje02,2005,1,CHN,NL,114,380,51,99,25,2,4,30.0,8.0,9.0,31,46.0,0.0,12.0,7.0,0.0,5.0
86508,hallbi03,2005,1,MIL,NL,146,501,69,146,39,6,17,62.0,18.0,6.0,39,103.0,2.0,1.0,2.0,3.0,11.0
86509,hallto02,2005,1,TBA,AL,135,432,28,124,20,0,5,48.0,0.0,0.0,16,39.0,1.0,5.0,3.0,7.0,15.0
86520,hardyjj01,2005,1,MIL,NL,124,372,46,92,22,1,9,50.0,0.0,0.0,44,48.0,7.0,1.0,8.0,2.0,10.0
86526,harrile01,2005,1,FLO,NL,83,70,5,22,4,0,1,13.0,0.0,1.0,7,11.0,1.0,1.0,0.0,0.0,3.0
86533,hattesc01,2005,1,OAK,AL,134,464,52,119,19,0,7,59.0,0.0,1.0,51,54.0,4.0,4.0,2.0,2.0,22.0
86536,hawpebr01,2005,1,COL,NL,101,305,38,80,10,3,9,47.0,2.0,2.0,43,70.0,3.0,0.0,0.0,3.0,5.0
86540,helmswe01,2005,1,MIL,NL,95,168,18,50,13,1,4,24.0,0.0,1.0,14,30.0,0.0,3.0,0.0,3.0,7.0
86541,heltoto01,2005,1,COL,NL,144,509,92,163,45,2,20,79.0,3.0,0.0,106,80.0,22.0,9.0,1.0,1.0,14.0
86553,hernajo01,2005,1,CLE,AL,84,234,28,54,7,0,6,31.0,1.0,3.0,14,60.0,0.0,2.0,3.0,3.0,11.0
86556,hernara02,2005,1,SDN,NL,99,369,36,107,19,2,12,58.0,1.0,0.0,18,40.0,0.0,1.0,1.0,3.0,14.0
86559,hidalri01,2005,1,TEX,AL,88,308,43,68,12,0,16,43.0,1.0,2.0,26,74.0,1.0,4.0,0.0,1.0,8.0
86561,hillaa01,2005,1,TOR,AL,105,361,49,99,25,3,3,40.0,2.0,1.0,34,41.0,0.0,5.0,3.0,4.0,5.0
86563,hillesh02,2005,1,TOR,AL,152,594,91,173,36,2,18,82.0,5.0,1.0,26,79.0,2.0,22.0,0.0,3.0,21.0
86566,hinsker01,2005,1,TOR,AL,147,477,79,125,31,2,15,68.0,8.0,4.0,46,121.0,4.0,8.0,0.0,6.0,8.0
86570,hollato01,2005,1,CHN,NL,107,268,23,68,17,2,5,35.0,4.0,4.0,18,53.0,1.0,1.0,1.0,2.0,4.0
86572,hollida02,2005,1,TBA,AL,120,342,44,85,17,1,13,46.0,8.0,1.0,23,63.0,0.0,1.0,1.0,2.0,8.0
86573,hollima01,2005,1,COL,NL,125,479,68,147,24,7,19,87.0,14.0,3.0,36,79.0,1.0,7.0,0.0,4.0,11.0
86577,howarry01,2005,1,PHI,NL,88,312,52,90,17,2,22,63.0,0.0,1.0,33,100.0,8.0,1.0,0.0,2.0,6.0
86583,hudsoor01,2005,1,TOR,AL,131,461,62,125,25,5,10,63.0,7.0,1.0,30,65.0,1.0,3.0,0.0,7.0,10.0
86585,huffau01,2005,1,TBA,AL,154,575,70,150,26,2,22,92.0,8.0,7.0,49,88.0,13.0,5.0,0.0,7.0,12.0
86587,hunteto01,2005,1,MIN,AL,98,372,63,100,24,1,14,56.0,23.0,7.0,34,65.0,3.0,6.0,0.0,4.0,8.0
86590,ibanera01,2005,1,SEA,AL,162,614,92,172,32,2,20,89.0,9.0,4.0,71,99.0,6.0,2.0,0.0,3.0,12.0
86591,iguchta01,2005,1,CHA,AL,135,511,74,142,25,6,15,71.0,15.0,5.0,47,114.0,0.0,6.0,11.0,6.0,16.0
86592,infanom01,2005,1,DET,AL,121,406,36,90,28,2,9,43.0,8.0,0.0,16,73.0,0.0,2.0,8.0,2.0,5.0
86593,ingebr01,2005,1,DET,AL,160,616,75,161,31,9,16,72.0,7.0,6.0,63,140.0,1.0,3.0,6.0,6.0,14.0
86596,izturce01,2005,1,LAN,NL,106,444,48,114,19,2,2,31.0,8.0,8.0,25,51.0,1.0,4.0,4.0,1.0,11.0
86599,jacksda04,2005,1,SDN,NL,118,275,44,70,9,0,5,23.0,15.0,2.0,30,45.0,1.0,4.0,3.0,1.0,4.0
86604,jenkige01,2005,1,MIL,NL,148,538,87,157,42,1,25,86.0,0.0,0.0,56,138.0,9.0,19.0,0.0,5.0,13.0
86608,jeterde01,2005,1,NYA,AL,159,654,122,202,25,5,19,70.0,14.0,5.0,77,117.0,3.0,11.0,7.0,3.0,15.0
86613,johnsda06,2005,1,OAK,AL,109,375,54,103,21,0,15,58.0,0.0,1.0,50,52.0,1.0,1.0,0.0,8.0,11.0
86616,johnske05,2005,1,ATL,NL,87,290,46,70,12,3,9,40.0,2.0,1.0,40,75.0,1.0,1.0,2.0,1.0,11.0
86618,johnsni01,2005,1,WAS,NL,131,453,66,131,35,3,15,74.0,3.0,8.0,80,87.0,8.0,12.0,0.0,2.0,15.0
86620,johnsre02,2005,1,TOR,AL,142,398,55,107,21,6,8,58.0,5.0,6.0,22,82.0,1.0,16.0,2.0,1.0,8.0
86623,jonesan01,2005,1,ATL,NL,160,586,95,154,24,3,51,128.0,5.0,3.0,64,112.0,13.0,15.0,0.0,7.0,19.0
86624,jonesch06,2005,1,ATL,NL,109,358,66,106,30,0,21,72.0,5.0,1.0,72,56.0,5.0,0.0,0.0,2.0,9.0
86626,jonesja04,2005,1,MIN,AL,142,523,74,130,22,4,23,73.0,13.0,4.0,51,120.0,12.0,5.0,2.0,4.0,17.0
86639,kearnau01,2005,1,CIN,NL,112,387,62,93,26,1,18,67.0,0.0,0.0,48,107.0,2.0,8.0,0.0,5.0,8.0
86643,kendaja01,2005,1,OAK,AL,150,601,70,163,28,1,0,53.0,8.0,3.0,50,39.0,0.0,20.0,0.0,5.0,26.0
86644,kennead01,2005,1,LAA,AL,129,416,49,125,23,0,2,37.0,19.0,4.0,29,64.0,1.0,7.0,5.0,3.0,5.0
86648,kentje01,2005,1,LAN,NL,149,553,100,160,36,0,29,105.0,6.0,2.0,72,85.0,8.0,8.0,0.0,4.0,19.0
86650,kieltbo01,2005,1,OAK,AL,116,377,55,99,20,0,10,57.0,3.0,2.0,50,67.0,3.0,2.0,2.0,2.0,14.0
86656,kleskry01,2005,1,SDN,NL,137,443,61,110,19,1,18,58.0,3.0,4.0,75,80.0,2.0,1.0,0.0,1.0,6.0
86660,konerpa01,2005,1,CHA,AL,158,575,98,163,24,0,40,100.0,0.0,0.0,81,109.0,10.0,5.0,0.0,3.0,9.0
86664,koskico01,2005,1,TOR,AL,97,354,49,88,20,0,11,36.0,4.0,1.0,44,90.0,3.0,4.0,0.0,2.0,10.0
86666,kotsama01,2005,1,OAK,AL,139,582,75,163,35,1,15,82.0,5.0,5.0,40,51.0,3.0,1.0,2.0,4.0,13.0
86673,lambmi01,2005,1,HOU,NL,125,322,41,76,13,5,12,53.0,1.0,1.0,22,65.0,1.0,1.0,0.0,4.0,10.0
86674,laneja01,2005,1,HOU,NL,145,517,65,138,34,4,26,78.0,6.0,2.0,32,105.0,1.0,7.0,0.0,5.0,10.0
86675,langery01,2005,1,ATL,NL,128,326,48,87,22,3,8,42.0,0.0,2.0,37,75.0,3.0,5.0,2.0,3.0,2.0
86676,larocad01,2005,1,ATL,NL,141,451,53,117,28,0,20,78.0,0.0,2.0,39,87.0,7.0,4.0,2.0,6.0,15.0
86677,larueja01,2005,1,CIN,NL,110,361,38,94,27,0,14,60.0,0.0,0.0,41,101.0,7.0,13.0,5.0,2.0,8.0
86679,lawtoma02,2005,1,PIT,NL,101,374,53,102,28,1,10,44.0,16.0,9.0,58,61.0,0.0,9.0,0.0,4.0,7.0
86683,lecroma01,2005,1,MIN,AL,101,304,33,79,5,0,17,50.0,0.0,0.0,41,85.0,2.0,4.0,0.0,1.0,7.0
86684,ledeeri01,2005,1,LAN,NL,102,237,31,66,16,1,7,39.0,0.0,0.0,20,55.0,1.0,3.0,0.0,6.0,5.0
86686,leeca01,2005,1,MIL,NL,162,618,85,164,41,0,32,114.0,13.0,4.0,57,87.0,7.0,2.0,0.0,11.0,8.0
86688,leede02,2005,1,CHN,NL,158,594,120,199,50,3,46,107.0,15.0,3.0,85,109.0,23.0,5.0,0.0,7.0,12.0
86689,leetr01,2005,1,TBA,AL,129,404,54,110,22,2,12,49.0,7.0,4.0,35,66.0,4.0,1.0,0.0,1.0,7.0
86699,liebemi01,2005,1,PHI,NL,118,392,48,103,25,0,12,47.0,0.0,0.0,35,35.0,14.0,11.0,0.0,5.0,6.0
86709,loducpa01,2005,1,FLO,NL,132,445,45,126,23,1,6,57.0,4.0,3.0,34,31.0,5.0,4.0,5.0,8.0,16.0
86711,loftoke01,2005,1,PHI,NL,110,367,67,123,15,5,2,36.0,22.0,3.0,32,41.0,2.0,2.0,5.0,0.0,3.0
86712,loganno01,2005,1,DET,AL,129,322,47,83,12,5,1,17.0,23.0,6.0,21,52.0,3.0,1.0,12.0,0.0,5.0
86714,longte01,2005,1,KCA,AL,137,455,62,127,21,3,6,53.0,3.0,3.0,30,56.0,0.0,0.0,0.0,4.0,15.0
86718,lopezfe01,2005,1,CIN,NL,148,580,97,169,34,5,23,85.0,15.0,7.0,57,111.0,2.0,1.0,3.0,7.0,8.0
86719,lopezja01,2005,1,BAL,AL,103,395,47,110,24,1,15,49.0,0.0,1.0,19,68.0,2.0,7.0,0.0,2.0,10.0
86726,loretma01,2005,1,SDN,NL,105,404,54,113,16,1,3,38.0,8.0,4.0,45,34.0,4.0,8.0,2.0,4.0,11.0
86728,lowelmi01,2005,1,FLO,NL,150,500,56,118,36,1,8,58.0,4.0,0.0,46,58.0,1.0,2.0,1.0,9.0,14.0
86731,lugoju01,2005,1,TBA,AL,158,616,89,182,36,6,6,57.0,39.0,11.0,61,72.0,0.0,6.0,3.0,4.0,5.0
86734,mabryjo01,2005,1,SLN,NL,112,246,26,59,15,1,8,32.0,0.0,0.0,20,63.0,1.0,0.0,6.0,2.0,6.0
